quarter_id,year,quarter_num,quarter_start_date,underemployment_change_qoq,underemployment_rate,unemployment_rate,employment_rate,lfpr,underemployment_change_yoy,gdp_growth_yoy,gdp_growth_yoy_accel,gdp_level,gdp_growth_qoq,cpi_index,inflation_yoy,inflation_yoy_accel,growth_employment_gap,gdp_growth_yoy_lag1,gdp_growth_yoy_accel_lag1,inflation_yoy_lag1,inflation_yoy_accel_lag1,naive_forecast_change_pp
2005Q2,2005,2,2005-04-01,,26.135,8.28,91.72,64.821,,5.7,0.7,2.19537e+06,5.9981,61.5523,7.0669,-0.175,,5,-0.5,7.2419,0.5025,0
2005Q3,2005,3,2005-07-01,-5.655,20.48,7.704,92.296,64.556,,4.4,-1.3,2.11798e+06,-3.5249,62.6663,6.0237,-1.0432,,5.7,0.7,7.0669,-0.175,0
2005Q4,2005,4,2005-10-01,0.698,21.178,7.378,92.622,64.772,,4.7,0.3,2.38983e+06,12.8351,63.4963,6.0949,0.0712,,4.4,-1.3,6.0237,-1.0432,0
2006Q1,2006,1,2006-01-01,-0.031,21.147,8.137,91.863,63.595,,4.5,-0.2,2.16438e+06,-9.4337,64.654,6.3218,0.2269,,4.7,0.3,6.0949,0.0712,0
2006Q2,2006,2,2006-04-01,4.262,25.409,8.235,91.765,64.817,-0.726,5.9,1.4,2.32531e+06,7.4355,65.2874,6.0681,-0.2537,5.174,4.5,-0.2,6.3218,0.2269,0
2006Q3,2006,3,2006-07-01,-1.969,23.44,8.141,91.859,64.613,2.96,4.7,-1.2,2.21759e+06,-4.6325,65.9208,5.1934,-0.8747,7.66,5.9,1.4,6.0681,-0.2537,0
2006Q4,2006,4,2006-10-01,-3.125,20.315,7.392,92.608,63.824,-0.863,6,1.3,2.53352e+06,14.2462,66.2485,4.3344,-0.8591,5.137,4.7,-1.2,5.1934,-0.8747,0
2007Q1,2007,1,2007-01-01,1.19,21.505,7.83,92.17,64.824,0.358,6.2,0.2,2.2978e+06,-9.304,66.6635,3.1081,-1.2263,6.558,6,1.3,4.3344,-0.8591,0
2007Q2,2007,2,2007-04-01,-2.581,18.924,7.396,92.604,64.519,-6.485,6.8,0.6,2.48442e+06,8.1217,67.013,2.643,-0.4651,0.315,6.2,0.2,3.1081,-1.2263,0
2007Q3,2007,3,2007-07-01,3.067,21.991,7.814,92.186,63.567,-1.449,6.5,-0.3,2.36277e+06,-4.8963,67.7774,2.8164,0.1734,5.051,6.8,0.6,2.643,-0.4651,0
2007Q4,2007,4,2007-10-01,-3.848,18.143,6.252,93.748,63.185,-2.172,6.5,0,2.69825e+06,14.1985,68.3672,3.1982,0.3817,4.328,6.5,-0.3,2.8164,0.1734,0
2008Q1,2008,1,2008-01-01,0.757,18.9,7.357,92.643,63.37,-2.605,4.2,-2.3,2.39361e+06,-11.2905,70.1364,5.2097,2.0115,1.595,6.5,0,3.1982,0.3817,0
2008Q2,2008,2,2008-04-01,0.855,19.755,7.995,92.005,63.171,0.831,4.8,0.6,2.603e+06,8.748,72.5828,8.3116,3.1019,5.631,4.2,-2.3,5.2097,2.0115,0
2008Q3,2008,3,2008-07-01,1.328,21.083,7.363,92.637,64.252,-0.908,5.4,0.6,2.4912e+06,-4.2952,74.7452,10.2804,1.9688,4.492,4.8,0.6,8.3116,3.1019,0
2008Q4,2008,4,2008-10-01,-3.625,17.458,6.814,93.186,63.694,-0.685,3.1,-2.3,2.78308e+06,11.7164,74.4394,8.8818,-1.3986,2.415,5.4,0.6,10.2804,1.9688,0
2009Q1,2009,1,2009-01-01,0.749,18.207,7.691,92.309,63.277,-0.693,1.1,-2,2.42035e+06,-13.0332,75.0292,6.976,-1.9058,0.407,3.1,-2.3,8.8818,-1.3986,0
2009Q2,2009,2,2009-04-01,0.711,18.918,7.475,92.525,64.028,-0.837,1.9,0.8,2.65225e+06,9.5813,75.75,4.3635,-2.6125,1.063,1.1,-2,6.976,-1.9058,0
2009Q3,2009,3,2009-07-01,0.895,19.813,7.604,92.396,64.586,-1.27,0.9,-1,2.51431e+06,-5.2009,76.296,2.0748,-2.2887,-0.37,1.9,0.8,4.3635,-2.6125,0
2009Q4,2009,4,2009-10-01,-0.433,19.38,7.12,92.88,63.976,1.922,1.8,0.9,2.83272e+06,12.6639,77.1261,3.6092,1.5343,3.722,0.9,-1,2.0748,-2.2887,0
2010Q1,2010,1,2010-01-01,0.362,19.742,7.282,92.718,64.49,1.535,8.1,6.3,2.61689e+06,-7.6192,77.9561,3.901,0.2919,9.635,1.8,0.9,3.6092,1.5343,0
2010Q2,2010,2,2010-04-01,-1.961,17.781,8.047,91.953,63.591,-1.137,8,-0.1,2.86377e+06,9.4339,78.655,3.8351,-0.066,6.863,8.1,6.3,3.901,0.2919,0
2010Q3,2010,3,2010-07-01,0.163,17.944,6.957,93.043,63.922,-1.869,7.1,-0.9,2.69205e+06,-5.9961,79.2448,3.8649,0.0298,5.231,8,-0.1,3.8351,-0.066,0
2010Q4,2010,4,2010-10-01,1.628,19.572,7.124,92.876,64.227,0.192,6.3,-0.8,3.01115e+06,11.8534,79.8564,3.5401,-0.3248,6.492,7.1,-0.9,3.8649,0.0298,0
2011Q1,2011,1,2011-01-01,-0.147,19.425,7.44,92.56,63.724,-0.317,4.8,-1.5,2.74321e+06,-8.8984,81.4727,4.5111,0.971,4.483,6.3,-0.8,3.5401,-0.3248,0
2011Q2,2011,2,2011-04-01,-0.068,19.357,7.234,92.766,64.247,1.576,3.6,-1.2,2.96573e+06,8.1116,82.543,4.9431,0.432,5.176,4.8,-1.5,4.5111,0.971,0
2011Q3,2011,3,2011-07-01,-0.236,19.121,7.067,92.933,64.345,1.177,3,-0.6,2.77378e+06,-6.4723,83.0017,4.7409,-0.2022,4.177,3.6,-1.2,4.9431,0.432,0
2011Q4,2011,4,2011-10-01,0.026,19.147,6.417,93.583,66.261,-0.425,4,1,3.13265e+06,12.9381,83.5915,4.6772,-0.0637,3.575,3,-0.6,4.7409,-0.2022,0
2012Q1,2012,1,2012-01-01,-0.349,18.798,7.19,92.81,64.175,-0.627,6,2,2.9089e+06,-7.1425,84.1716,3.3127,-1.3646,5.373,4,1,4.6772,-0.0637,0
2012Q2,2012,2,2012-04-01,0.528,19.326,6.896,93.104,64.678,-0.031,6.2,0.2,3.15017e+06,8.2944,84.9673,2.937,-0.3756,6.169,6,2,3.3127,-1.3646,0
2012Q3,2012,3,2012-07-01,3.48,22.806,7.046,92.954,64.013,3.685,7.4,1.2,2.97902e+06,-5.4331,85.8767,3.4637,0.5267,11.085,6.2,0.2,2.937,-0.3756,0
