quarter_id,indicator_code,value,value_status,source_file
2005Q2,underemployment_change_qoq,,missing,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,underemployment_rate,26.135,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,unemployment_rate,8.28,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,employment_rate,91.72,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,lfpr,64.821,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,underemployment_change_yoy,,missing,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q2,gdp_growth_yoy,5.7,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q2,gdp_growth_yoy_accel,0.7,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q2,gdp_level,2.19537e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2005Q2,gdp_growth_qoq,5.9981,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2005Q2,cpi_index,61.5523,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q2,inflation_yoy,7.0669,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q2,inflation_yoy_accel,-0.175,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q2,growth_employment_gap,,missing,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q3,underemployment_change_qoq,-5.655,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,underemployment_rate,20.48,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,unemployment_rate,7.704,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,employment_rate,92.296,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,lfpr,64.556,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,underemployment_change_yoy,,missing,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q3,gdp_growth_yoy,4.4,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q3,gdp_growth_yoy_accel,-1.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q3,gdp_level,2.11798e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2005Q3,gdp_growth_qoq,-3.5249,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2005Q3,cpi_index,62.6663,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q3,inflation_yoy,6.0237,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q3,inflation_yoy_accel,-1.0432,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2005Q3,growth_employment_gap,,missing,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q4,underemployment_change_qoq,0.698,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,underemployment_rate,21.178,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,unemployment_rate,7.378,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,employment_rate,92.622,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,lfpr,64.772,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,underemployment_change_yoy,,missing,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2005Q4,gdp_growth_yoy,4.7,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q4,gdp_growth_yoy_accel,0.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2005Q4,gdp_level,2.38983e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
