"Year","Month","Labor Force Participation Rate Both sexes","Employment Rate Both sexes","Unemployment Rate Both sexes","Underemployment Rate Both sexes"
"2005","January",.,.,.,.
"2005","February",.,.,.,.
"2005","March",.,.,.,.
"2005","April",64.821,91.720,8.280,26.135
"2005","May",.,.,.,.
"2005","June",.,.,.,.
"2005","July",64.556,92.296,7.704,20.480
"2005","August",.,.,.,.
"2005","September",.,.,.,.
"2005","October",64.772,92.622,7.378,21.178
"2005","November",.,.,.,.
"2005","December",.,.,.,.
"2005","Annual",64.716,92.214,7.786,22.582
"2006","January",63.595,91.863,8.137,21.147
"2006","February",.,.,.,.
"2006","March",.,.,.,.
"2006","April",64.817,91.765,8.235,25.409
"2006","May",.,.,.,.
"2006","June",.,.,.,.
"2006","July",64.613,91.859,8.141,23.440
"2006","August",.,.,.,.
"2006","September",.,.,.,.
"2006","October",63.824,92.608,7.392,20.315
"2006","November",.,.,.,.
"2006","December",.,.,.,.
"2006","Annual",64.213,92.024,7.976,22.584
"2007","January",64.824,92.170,7.830,21.505
"2007","February",.,.,.,.
"2007","March",.,.,.,.
"2007","April",64.519,92.604,7.396,18.924
"2007","May",.,.,.,.
"2007","June",.,.,.,.
"2007","July",63.567,92.186,7.814,21.991
"2007","August",.,.,.,.
"2007","September",.,.,.,.
"2007","October",63.185,93.748,6.252,18.143
"2007","November",.,.,.,.
"2007","December",.,.,.,.
"2007","Annual",64.020,92.674,7.326,20.134
"2008","January",63.370,92.643,7.357,18.900
"2008","February",.,.,.,.
"2008","March",.,.,.,.
"2008","April",63.171,92.005,7.995,19.755
"2008","May",.,.,.,.
"2008","June",.,.,.,.
"2008","July",64.252,92.637,7.363,21.083
"2008","August",.,.,.,.
"2008","September",.,.,.,.
"2008","October",63.694,93.186,6.814,17.458
"2008","November",.,.,.,.
"2008","December",.,.,.,.
"2008","Annual",63.624,92.620,7.380,19.299
"2009","January",63.277,92.309,7.691,18.207
"2009","February",.,.,.,.
"2009","March",.,.,.,.
"2009","April",64.028,92.525,7.475,18.918
"2009","May",.,.,.,.
"2009","June",.,.,.,.
"2009","July",64.586,92.396,7.604,19.813
"2009","August",.,.,.,.
"2009","September",.,.,.,.
"2009","October",63.976,92.880,7.120,19.380
"2009","November",.,.,.,.
"2009","December",.,.,.,.
"2009","Annual",63.969,92.529,7.471,19.088
"2010","January",64.490,92.718,7.282,19.742
"2010","February",.,.,.,.
"2010","March",.,.,.,.
"2010","April",63.591,91.953,8.047,17.781
"2010","May",.,.,.,.
"2010","June",.,.,.,.
"2010","July",63.922,93.043,6.957,17.944
"2010","August",.,.,.,.
"2010","September",.,.,.,.
"2010","October",64.227,92.876,7.124,19.572
"2010","November",.,.,.,.
"2010","December",.,.,.,.
"2010","Annual",64.057,92.650,7.350,18.765
"2011","January",63.724,92.560,7.440,19.425
"2011","February",.,.,.,.
"2011","March",.,.,.,.
"2011","April",64.247,92.766,7.234,19.357
"2011","May",.,.,.,.
"2011","June",.,.,.,.
"2011","July",64.345,92.933,7.067,19.121
"2011","August",.,.,.,.
"2011","September",.,.,.,.
"2011","October",66.261,93.583,6.417,19.147
"2011","November",.,.,.,.
"2011","December",.,.,.,.
"2011","Annual",64.647,92.967,7.033,19.260
"2012","January",64.175,92.810,7.190,18.798
"2012","February",.,.,.,.
"2012","March",.,.,.,.
"2012","April",64.678,93.104,6.896,19.326
"2012","May",.,.,.,.
"2012","June",.,.,.,.
"2012","July",64.013,92.954,7.046,22.806
"2012","August",.,.,.,.
"2012","September",.,.,.,.
"2012","October",63.873,93.166,6.834,19.008
"2012","November",.,.,.,.
"2012","December",.,.,.,.
"2012","Annual",64.184,93.009,6.991,19.984
"2013","January",64.083,92.914,7.086,20.911
"2013","February",.,.,.,.
"2013","March",.,.,.,.
"2013","April",63.826,92.453,7.547,19.173
"2013","May",.,.,.,.
"2013","June",.,.,.,.
"2013","July",63.872,92.708,7.292,19.228
"2013","August",.,.,.,.
"2013","September",.,.,.,.
"2013","October",63.917,93.600,6.400,18.063
"2013","November",.,.,.,.
"2013","December",.,.,.,.
"2013","Annual",63.924,92.919,7.081,19.339
"2014","January",63.757,92.462,7.538,19.505
"2014","February",.,.,.,.
"2014","March",.,.,.,.
"2014","April",65.214,92.969,7.031,18.175
"2014","May",.,.,.,.
"2014","June",.,.,.,.
"2014","July",64.352,93.262,6.738,18.332
"2014","August",.,.,.,.
"2014","September",.,.,.,.
"2014","October",64.303,93.993,6.007,18.741
"2014","November",.,.,.,.
"2014","December",.,.,.,.
"2014","Annual",64.622,93.407,6.593,18.417
"2015","January",63.731,93.434,6.566,17.895
"2015","February",.,.,.,.
"2015","March",.,.,.,.
"2015","April",64.566,93.591,6.409,17.833
"2015","May",.,.,.,.
"2015","June",.,.,.,.
"2015","July",62.901,93.500,6.500,20.982
"2015","August",.,.,.,.
"2015","September",.,.,.,.
"2015","October",63.260,94.375,5.625,17.650
"2015","November",.,.,.,.
"2015","December",.,.,.,.
"2015","Annual",63.666,93.707,6.293,18.534
"2016","January",63.551,94.310,5.690,19.600
"2016","February",.,.,.,.
"2016","March",.,.,.,.
"2016","April",63.505,93.936,6.064,18.273
"2016","May",.,.,.,.
"2016","June",.,.,.,.
"2016","July",63.244,94.612,5.388,17.421
"2016","August",.,.,.,.
"2016","September",.,.,.,.
"2016","October",63.606,95.335,4.665,18.016
"2016","November",.,.,.,.
"2016","December",.,.,.,.
"2016","Annual",63.476,94.550,5.450,18.324
"2017","January",60.664,93.442,6.558,16.260
"2017","February",.,.,.,.
"2017","March",.,.,.,.
"2017","April",61.366,94.281,5.719,16.062
"2017","May",.,.,.,.
"2017","June",.,.,.,.
"2017","July",60.636,94.422,5.578,16.283
"2017","August",.,.,.,.
"2017","September",.,.,.,.
"2017","October",62.136,95.003,4.997,15.923
"2017","November",.,.,.,.
"2017","December",.,.,.,.
"2017","Annual",61.202,94.294,5.706,16.130
"2018","January",62.168,94.736,5.264,17.956
"2018","February",.,.,.,.
"2018","March",.,.,.,.
"2018","April",60.913,94.543,5.457,16.958
"2018","May",.,.,.,.
"2018","June",.,.,.,.
"2018","July",60.059,94.580,5.420,17.227
"2018","August",.,.,.,.
"2018","September",.,.,.,.
"2018","October",60.553,94.938,5.062,13.313
"2018","November",.,.,.,.
"2018","December",.,.,.,.
"2018","Annual",60.920,94.700,5.300,16.363
"2019","January",60.238,94.710,5.290,15.418
"2019","February",.,.,.,.
"2019","March",.,.,.,.
"2019","April",61.340,94.849,5.151,13.327
"2019","May",.,.,.,.
"2019","June",.,.,.,.
"2019","July",62.059,94.579,5.421,13.637
"2019","August",.,.,.,.
"2019","September",.,.,.,.
"2019","October",61.405,95.412,4.588,12.784
"2019","November",.,.,.,.
"2019","December",.,.,.,.
"2019","Annual",61.263,94.889,5.111,13.778
"2020","January",61.688,94.678,5.322,14.806
"2020","February",.,.,.,.
"2020","March",.,.,.,.
"2020","April",55.693,82.395,17.605,18.912
"2020","May",.,.,.,.
"2020","June",.,.,.,.
"2020","July",61.937,90.039,9.961,17.278
"2020","August",.,.,.,.
"2020","September",.,.,.,.
"2020","October",58.742,91.265,8.735,14.427
"2020","November",.,.,.,.
"2020","December",.,.,.,.
"2020","Annual",59.510,89.744,10.256,16.240
"2021","January",60.498,91.233,8.767,15.973
"2021","February",63.457,91.155,8.845,18.192
"2021","March",65.004,92.946,7.054,16.181
"2021","April",63.234,91.272,8.728,17.224
"2021","May",64.571,92.283,7.717,12.279
"2021","June",65.051,92.281,7.719,14.220
"2021","July",59.412,92.808,7.192,21.043
"2021","August",63.634,91.931,8.069,14.656
"2021","September",63.348,91.060,8.940,14.183
"2021","October",62.627,92.596,7.404,16.073
"2021","November",64.245,93.503,6.497,16.752
"2021","December",65.102,93.374,6.626,14.719
"2021","Annual",63.350,92.213,7.787,15.920
"2022","January",60.535,93.612,6.388,14.866
"2022","February",63.826,93.569,6.431,14.032
"2022","March",65.375,94.228,5.772,15.799
"2022","April",63.364,94.290,5.710,14.023
"2022","May",64.040,94.027,5.973,14.469
"2022","June",64.778,93.970,6.030,12.637
"2022","July",65.232,94.795,5.205,13.806
"2022","August",66.065,94.696,5.304,14.692
"2022","September",65.182,95.013,4.987,15.397
"2022","October",64.140,95.457,4.543,14.162
"2022","November",67.454,95.804,4.196,14.404
"2022","December",66.388,95.668,4.332,12.646
"2022","Annual",64.702,94.610,5.390,14.239
"2023","January",64.497,95.218,4.782,14.053
"2023","February",66.584,95.173,4.827,12.883
"2023","March",66.012,95.261,4.739,11.201
"2023","April",65.123,95.516,4.484,12.909
"2023","May",65.347,95.702,4.298,11.729
"2023","June",66.074,95.453,4.547,12.028
"2023","July",60.035,95.114,4.886,15.865
"2023","August",64.657,95.588,4.412,11.712
"2023","September",64.050,95.467,4.533,10.725
"2023","October",63.946,95.811,4.189,11.712
"2023","November",65.895,96.438,3.562,11.659
"2023","December",66.648,96.926,3.074,11.896
"2023","Annual",64.903,95.646,4.354,12.338
