"Year","Month","Labor Force Participation Rate Both sexes","Employment Rate Both sexes","Unemployment Rate Both sexes","Underemployment Rate Both sexes"
"2024","January",61.119,95.511,4.489,13.717
"2024","February",64.804,96.461,3.539,12.413
"2024","March",65.318,96.089,3.911,10.967
"2024","April",64.102,95.950,4.050,14.553
"2024","May",64.821,95.868,4.132,9.854
"2024","June",65.996,96.879,3.121,12.098
"2024","July",63.451,95.255,4.745,12.107
"2024","August",64.807,95.959,4.041,11.156
"2024","September",65.692,96.343,3.657,11.918
"2024","October",63.270,96.078,3.922,12.632
"2024","November",64.580,96.753,3.247,10.809
"2024","December",65.147,96.856,3.144,10.921
"2024","Annual",64.425,96.174,3.826,11.912
"2025","January",63.861,95.725,4.275,13.343
"2025","February",64.473,96.209,3.791,10.088
"2025","March",62.852,96.133,3.867,13.409
"2025","April",63.744,95.933,4.067,14.569
"2025","May",65.849,96.111,3.889,13.129
"2025","June",65.710,96.282,3.718,11.417
"2025","July",60.733,94.668,5.332,14.774
"2025","August",65.060,96.099,3.901,10.741
"2025","September",64.460,96.207,3.793,11.134
"2025","October",63.561,95.031,4.969,11.951
"2025","November",64.013,95.628,4.372,10.373
"2025","December",64.408,95.628,4.372,7.954
"2025","Annual",64.060,95.811,4.189,11.881
"2026","January",62.305,94.194,5.806,13.245
"2026","February",63.815,94.892,5.108,11.814
"2026","March",63.323,95.011,4.989,12.291
"2026","April",62.681,95.294,4.706,15.157
"2026","May",63.812,95.207,4.793,12.168
"2026","June",.,.,.,.
"2026","July",.,.,.,.
"2026","August",.,.,.,.
"2026","September",.,.,.,.
"2026","October",.,.,.,.
"2026","November",.,.,.,.
"2026","December",.,.,.,.
"2026","Annual",.,.,.,.
